"","const","size_data","ratio_noise_data","ratio_alpha_psi"
"169",8.67615544978228,10000,1,4
"170",8.35452047787496,10000,1,4
"171",9.56266082043573,10000,1,4
"172",9.97675034820548,10000,1,4
"173",9.51473748393473,10000,1,4
"174",9.35787106820413,10000,1,4
"175",6.64958464331117,10000,1,4
"176",9.20297927072666,10000,1,4
"177",9.42230988887023,10000,1,4
"178",9.9709077501917,10000,1,4
"179",9.12276701729083,10000,1,4
"180",9.40878924574999,10000,1,4
"181",9.72789373712089,10000,10,1
"182",9.82572063969144,10000,10,1
"183",9.71383749746692,10000,10,1
"184",9.76973891497819,10000,10,1
"185",10.0052466938287,10000,10,1
"186",9.80649495008849,10000,10,1
"187",9.65561350338022,10000,10,1
"188",9.55761621820462,10000,10,1
"189",9.67476033753725,10000,10,1
"190",9.93330813789945,10000,10,1
"191",9.80211650805905,10000,10,1
"192",9.49736022055651,10000,10,1
"193",9.71179284443461,10000,10,1
"194",9.69762434442105,10000,10,1
"195",9.70061939729196,10000,10,1
"196",9.60815204837765,10000,10,2
"197",9.70676429506865,10000,10,2
"198",9.85626778880225,10000,10,2
"199",9.63565736842267,10000,10,2
"200",9.72789373712089,10000,10,2
"201",9.85920151807162,10000,10,2
"202",9.25503271824184,10000,10,2
"203",9.61182992551393,10000,10,2
"204",9.69814356804305,10000,10,2
"205",9.67902886695234,10000,10,2
"206",9.91460826099743,10000,10,2
"207",10.0262879309196,10000,10,2
"208",9.75505810034654,10000,10,2
"209",9.52480545234377,10000,10,2
"210",9.79003279404575,10000,10,2
"211",9.68971059470722,10000,10,3
"212",9.59390946353504,10000,10,3
"213",9.19989130992802,10000,10,3
"214",10.0099777349329,10000,10,3
"215",9.67437885155399,10000,10,3
"216",9.26549811207578,10000,10,3
"217",10.0522007608197,10000,10,3
"218",9.68606634183845,10000,10,3
"219",9.23169453907144,10000,10,3
"220",9.54103249059694,10000,10,3
"221",9.44308990525699,10000,10,3
"222",9.83401723750455,10000,10,3
"223",9.18579213229943,10000,10,3
"224",9.86905077472323,10000,10,3
"225",9.91228292814202,10000,10,3
"226",9.95073143512148,10000,10,4
"227",9.33120263036093,10000,10,4
"228",9.59282879578832,10000,10,4
"229",9.61013995166149,10000,10,4
"230",9.53907735397386,10000,10,4
"231",10.0228381482924,10000,10,4
"232",9.17125775657415,10000,10,4
"233",9.65653841750686,10000,10,4
"234",9.84833672331186,10000,10,4
"235",9.97913583173643,10000,10,4
"236",9.54517438594817,10000,10,4
"237",9.41926609504739,10000,10,4
"238",9.62554141395329,10000,10,4
"239",10.1546541522833,10000,10,4
"240",9.67476033753725,10000,10,4
