"","const","ratio_alpha_psi","const_error"
"1",10.1179567280438,1,0.0914436295197643
"2",9.55242450476337,1,0.474088593760627
"3",9.90055037521467,1,0.125962723309328
"4",9.30926823051837,1,0.717244868005629
"5",10.2632498436639,1,0.236736745139924
"6",9.64709127365253,1,0.379421824871468
"7",9.94002508783002,1,0.0864880106939854
"8",9.74483598964651,1,0.28167710887749
"9",9.23443042951433,1,0.792082669009666
"10",9.8095320168096,1,0.216981081714403
"11",9.82647056522307,1,0.200042533300936
"12",9.78502792339687,1,0.241485175127133
"13",9.7892924293034,1,0.237220669220598
"14",9.68657635359619,1,0.339936744927815
"15",9.90255510470273,1,0.123957993821266
"16",9.35998904133817,1,0.666524057185834
"17",10.0841699506832,1,0.0576568521592424
"18",10.0986828499984,1,0.0721697514743767
"19",9.98608699639517,1,0.0404261021288281
"20",9.85818165284136,1,0.168331445682643
"21",10.136942051987,1,0.110428953462986
"22",9.78043501221487,1,0.246078086309129
"23",10.1250049891403,1,0.0984918906162928
"24",9.56613026487954,1,0.460382833644465
"25",9.78348370727014,1,0.243029391253861
"26",9.40634155641419,1,0.620171542109812
"27",9.74695785890519,1,0.279555239618809
"28",10.0314047767536,1,0.00489167822964554
"29",9.58941609967909,1,0.437096998844909
"30",9.79633409497965,1,0.23017900354435
"31",9.56896829269911,1,0.45754480582489
"32",8.98757118717463,1,1.03894191134938
"33",9.7205563798273,1,0.305956718696704
"34",9.85944687180761,1,0.167066226716386
"35",9.67431466534564,1,0.352198433178362
"36",10.1079436736134,1,0.0814305750894402
"37",9.58672579234168,1,0.439787306182323
"38",9.70846807836112,1,0.318045020162884
"39",9.81420918292578,1,0.212303915598222
"40",9.56762580070466,1,0.45888729781934
"41",9.80353960430625,1,0.222973494217749
"42",9.97372085418337,1,0.0527922443406315
"43",9.66542113057266,1,0.361091967951346
"44",9.68152321078846,1,0.344989887735538
"45",9.70183044298756,1,0.324682655536439
"46",9.7123223638068,1,0.314190734717199
"47",9.7963328893912,1,0.230180209132802
"48",10.0049320918214,1,0.0215810067026236
"49",10.0946391902839,1,0.0681260917598809
"50",9.98608820925603,1,0.0404248892679746
"51",9.67945291844503,2,0.347060180078973
"52",9.4290922973693,2,0.597420801154701
"53",9.22227216262349,2,0.804240935900507
"54",9.40982166864773,2,0.616691429876273
"55",9.94957955289692,2,0.0769335456270834
"56",9.87992389735837,2,0.146589201165634
"57",10.0596837307259,2,0.0331706322018874
"58",8.91053031322883,2,1.11598278529518
"59",8.73451659017145,2,1.29199650835255
"60",9.95935266483331,2,0.0671604336906864
"61",9.7429869536714,2,0.283526144852598
"62",9.68676412692691,2,0.339748971597087
"63",9.77506940935112,2,0.251443689172881
"64",9.94536988126043,2,0.0811432172635715
"65",10.0850968720672,2,0.0585837735432087
"66",9.51789618964838,2,0.508616908875617
"67",9.69601575403686,2,0.330497344487139
"68",9.96996338281801,2,0.0565497157059909
"69",9.73255708554583,2,0.293956012978173
"70",9.77054285908491,2,0.25597023943909
"71",10.0061120450878,2,0.0204010534361831
"72",8.74926405277365,2,1.27724904575035
"73",9.15697349319553,2,0.869539605328473
"74",9.45652005586344,2,0.569993042660565
"75",10.1360699232395,2,0.109556824715495
"76",9.60203972958516,2,0.424473368938841
"77",9.46227460231952,2,0.564238496204482
"78",9.8168773340657,2,0.209635764458298
"79",8.72253900317956,2,1.30397409534444
"80",9.93277167658172,2,0.0937414219422852
"81",9.6817443693786,2,0.344768729145398
"82",9.50593031253848,2,0.520582785985521
"83",8.84227649382136,2,1.18423660470264
"84",9.69201175733231,2,0.334501341191695
"85",9.80292035949731,2,0.223592739026689
"86",9.17858067544283,2,0.847932423081174
"87",10.0505910965739,2,0.0240779980498935
"88",9.89271279777741,2,0.133800300746595
"89",10.1270743350589,2,0.100561236534896
"90",9.66293695708033,2,0.363576141443673
"91",10.1081251946456,2,0.08161209612161
"92",9.4400744094624,2,0.586438689061596
"93",9.73781261153697,2,0.288700486987029
"94",9.77640500023316,2,0.250108098290839
"95",9.85797160751252,2,0.168541491011483
"96",9.363167822251,2,0.663345276272999
"97",9.96482965326647,2,0.0616834452575308
"98",9.54999462464833,2,0.476518473875666
