"","iteration","param_1","param_2"
"1",1,1.94545933043754,4.04558007097586
"2",2,3.61285818613047,4.65001209770349
"3",3,1.74299466180674,3.93208326501481
"4",4,2.11337708689535,4.55428269990807
"5",5,2.11957417289196,4.049076579951
"6",6,1.84045882266474,4.52199411244983
"7",7,2.04594748838136,4.10972923944792
"8",8,1.63373493322661,4.05085347437444
"9",9,2.28106463653821,4.05985145459041
"10",10,1.75051801067712,4.11817900608039
"11",11,2.29592984019036,4.30448320767888
"12",12,1.98619914274833,3.94376740169128
"13",13,1.38295841965708,3.85492618616811
"14",14,1.89968428913149,4.32639928286185
"15",15,1.91735883022921,4.38181999201043
"16",16,1.92610368691313,4.02998121794444
"17",17,1.81054044255907,4.12028969878847
"18",18,1.74609510400417,3.98622046888538
"19",19,1.79066183569522,3.92028910535592
"20",20,1.36003959386581,4.60171627572418
"21",21,2.74753387215632,4.46606659618201
"22",22,2.16540300731881,3.89789998681246
"23",23,1.6686174694658,4.1490935875192
"24",24,2.20544515202947,4.16151310371261
"25",25,1.60894621326387,3.86064343395766
"26",26,1.19348742039584,4.48178586667928
"27",27,1.63899390457955,4.70121786474192
"28",28,1.90492910407703,4.10760037701184
"29",29,1.68788938540929,3.89410755356839
"30",30,1.91514200425823,3.97029092067319
"31",31,1.42565082708953,3.94745998018498
"32",32,2.52134346549379,4.15273271841175
"33",33,1.86098744690235,3.79032783337361
"34",34,1.58833955138544,4.3735862209418
"35",35,1.68163592084884,4.01415512116992
"36",36,1.36945388729683,4.04267211659908
"37",37,2.06912758807903,3.96728388501997
"38",38,2.62375602473179,4.01618771676788
"39",39,2.38975798650089,4.21706668209602
"40",40,1.49878003773084,4.08998826252464
"41",41,1.74665585099984,3.85499836653462
"42",42,1.90385484669833,3.82726181137359
"43",43,2.15270010724526,4.2839138960826
"44",44,2.50047269109657,3.9933963741101
"45",45,2.58162675341161,4.06093977425034
"46",46,1.5455759143355,4.37746503872768
"47",47,2.11016239077056,3.84914404503098
"48",48,2.79286682195362,4.23623317530528
"49",49,2.78976608787981,4.41838184831283
"50",50,2.36861802983465,4.06798339429842
"51",51,2.27316437408419,4.60711400371597
"52",52,2.31441436203852,3.88251106745466
"53",53,1.7346150919053,4.11401864981599
"54",54,2.10414539196588,4.54261545913981
"55",55,2.03630312112,4.21440777920288
"56",56,2.04548001380604,4.15097266605977
"57",57,2.15029556565066,3.91036671062797
"58",58,2.33428442892546,4.76197329479401
"59",59,2.16617596745091,3.8500743871813
"60",60,1.79593469661068,3.8433515124465
"61",61,2.25824322034242,4.00201825570039
"62",62,2.17397227001287,4.03999832830065
"63",63,1.99898509620717,4.24987065785981
"64",64,2.33063395476853,4.15043657391093
"65",65,1.35075692730679,4.19938125638846
"66",66,1.13119304464199,4.13300182069652
"67",67,3.74617786797985,4.70816901556023
"68",68,1.75232152878107,4.22716766555223
"69",69,2.20333628344379,4.22355574264511
"70",70,2.57923381301574,4.05459580299983
"71",71,2.38811832779395,3.84412187923946
"72",72,1.42288428555949,4.19520900004391
"73",73,1.39893659997179,4.0946030497129
"74",74,1.54259373876493,3.91917281342554
"75",75,1.94680591020575,3.82477507548461
"76",76,2.04762863889019,4.08827811058718
"77",77,1.84637517870024,3.88367081797342
"78",78,2.36882125819695,4.29252245870037
"79",79,1.18346650833556,4.02886470419762
"80",80,2.65146161479191,4.46328833283249
"81",81,1.97432018271794,3.81466021050437
"82",82,1.45995818160082,4.44767615123056
"83",83,1.81827438958135,3.89882745250798
"84",84,2.66111761484427,4.0670264871842
"85",85,1.83732470906121,4.09069954064184
"86",86,2.11291045333529,4.24715621920005
"87",87,2.04111704055218,3.82507533644471
"88",88,1.75248274624865,4.04300465459564
"89",89,1.41262596837324,4.14193441143771
"90",90,2.80467053687408,4.53274837056361
"91",91,1.12697661915009,4.43376602555363
"92",92,1.81345364115478,3.89760210660534
"93",93,1.76592446411287,4.11106021221076
"94",94,2.25109040938579,4.56733014106003
"95",95,1.35895362961492,4.25149111422761
"96",96,1.96176833448217,3.83663161554077
"97",97,1.89671170264265,4.07755562600141
"98",98,1.96036914109173,3.7798400300886
"99",99,2.19538371916181,4.46461174508191
"100",100,1.92710596898069,3.92048404248963
