"","const","size_data","ratio_noise_data","law_noise"
"130","10.0271022915453","1000","1","normale"
"131","10.0275021752683","1000","1","normale"
"132","10.0251923508757","1000","1","normale"
"133","10.0268882688695","1000","1","normale"
"134","10.0253200656328","1000","1","normale"
"135","10.0290681991505","1000","1","normale"
"136","10.0269333236064","1000","1","normale"
"137","10.0259648719988","1000","1","normale"
"138","10.0257934047818","1000","1","normale"
"139","10.0256062345959","1000","1","normale"
"140","10.0247182291708","1000","1","normale"
"141","10.0254089090377","1000","1","normale"
"142","10.0250508282281","1000","1","normale"
"143","10.0232503776411","1000","1","normale"
"144","10.0225249794917","1000","1","normale"
"145","10.0273015884532","1000","1","normale"
"146","10.025190324629","1000","1","normale"
"147","10.0279639296189","1000","1","normale"
"148","10.0252974824656","1000","1","normale"
"149","10.028902869376","1000","1","normale"
"150","10.0244459366941","1000","1","normale"
"151","10.0284711314471","1000","1","normale"
"152","10.0293754386397","1000","1","normale"
"153","10.0270676384869","1000","1","normale"
"154","10.0259925026119","1000","1","normale"
"155","10.0248459948959","1000","1","normale"
"156","10.024530950506","1000","1","normale"
"157","10.0242177834745","1000","1","normale"
"158","10.025842783842","1000","1","normale"
"159","10.0246094694584","1000","1","normale"
"160","10.020938293593","1000","1","normale"
"161","10.0256392275542","1000","1","normale"
"162","10.0275968759469","1000","1","normale"
"163","10.0265951352408","1000","1","normale"
"164","10.0255454414028","1000","1","normale"
"165","10.0272066316653","1000","1","normale"
"166","10.0261799694394","1000","1","normale"
"167","10.0270545474222","1000","1","normale"
"168","10.0274898716035","1000","1","normale"
"169","10.0240611885285","1000","1","normale"
"170","10.0272221440749","1000","1","normale"
"171","10.0244956508857","1000","1","normale"
"172","10.0253176492221","1000","1","normale"
"173","10.0290730623784","1000","1","normale"
"174","10.0271742141268","1000","1","normale"
"175","10.0246066498654","1000","1","normale"
"176","10.0266793655768","1000","1","normale"
"177","10.0248097091902","1000","1","normale"
"178","10.0255369120965","1000","1","normale"
"179","10.0257709235241","1000","1","normale"
"180","10.0245509261998","1000","1","normale"
"181","10.0261666481407","1000","1","normale"
"182","10.0252685550759","1000","1","normale"
"183","10.0241051124779","1000","1","normale"
"184","10.0276044603366","1000","1","normale"
"185","10.0284488646271","1000","1","normale"
"186","10.0261231277815","1000","1","normale"
"187","10.0265063813374","1000","1","normale"
"188","10.027169495487","1000","1","normale"
"189","10.0278130357554","1000","1","normale"
"190","10.0274491763863","1000","1","normale"
"191","10.0266669219344","1000","1","normale"
"192","10.0271424954827","1000","1","normale"
"193","10.0271113349563","1000","1","normale"
"194","10.02846721605","1000","1","normale"
"195","10.0259977510996","1000","1","normale"
"196","10.0279442845336","1000","1","normale"
"197","10.0251587794852","1000","1","normale"
"198","10.0286527310906","1000","1","normale"
"199","10.0254448544694","1000","1","normale"
"200","10.0277315393162","1000","1","normale"
"201","10.2762132702968","1000","1","unif"
"202","10.2089230483982","1000","1","unif"
"203","10.1821826522543","1000","1","unif"
"204","9.97866889924786","1000","1","unif"
"205","9.9215702164728","1000","1","unif"
"206","10.1772366416437","1000","1","unif"
"207","10.4450232757229","1000","1","unif"
"208","10.2853789845639","1000","1","unif"
"209","10.3419262317698","1000","1","unif"
"210","10.0598947286786","1000","1","unif"
"211","10.1455151556168","1000","1","unif"
"212","9.8583462162826","1000","1","unif"
"213","10.0799490781366","1000","1","unif"
"214","9.69896005264486","1000","1","unif"
"215","10.0370073680245","1000","1","unif"
"216","10.2530957600427","1000","1","unif"
"217","10.1514202728213","1000","1","unif"
"218","10.0339068281209","1000","1","unif"
"219","10.033479448664","1000","1","unif"
"220","9.73354019561356","1000","1","unif"
"221","10.4676826789521","1000","1","unif"
"222","9.91913767276588","1000","1","unif"
"223","10.1455564318708","1000","1","unif"
"224","9.80012512650969","1000","1","unif"
"225","9.86515370216064","1000","1","unif"
"226","10.1841411190954","1000","1","unif"
"227","10.0811948022082","1000","1","unif"
"228","10.0345527517506","1000","1","unif"
"229","10.2803742751363","1000","1","unif"
"230","9.78979738587315","1000","1","unif"
"231","10.0338248618125","1000","1","unif"
"232","10.1213851182608","1000","1","unif"
"233","10.3527976991334","1000","1","unif"
"234","9.94887865974266","1000","1","unif"
"235","9.81624070688603","1000","1","unif"
"236","9.88376659571627","1000","1","unif"
"237","9.89587809318292","1000","1","unif"
"238","10.0982702600131","1000","1","unif"
"239","9.88230971183923","1000","1","unif"
"240","10.0681332625726","1000","1","unif"
"241","9.78266914276885","1000","1","unif"
"242","10.1962154349734","1000","1","unif"
"243","10.1182571246698","1000","1","unif"
"244","9.91160676157597","1000","1","unif"
"245","10.3437551605086","1000","1","unif"
"246","10.0058794370614","1000","1","unif"
"247","10.0340320712935","1000","1","unif"
"248","10.5412104265996","1000","1","unif"
"249","10.2730476644511","1000","1","unif"
"250","9.93070786455624","1000","1","unif"
"251","9.99720281943119","1000","1","unif"
"252","10.3026937749684","1000","1","unif"
"253","9.9324134325758","1000","1","unif"
"254","9.93194173153437","1000","1","unif"
"255","10.2050562079508","1000","1","unif"
"256","10.2129278564221","1000","1","unif"
"257","10.1054567481736","1000","1","unif"
"258","10.0143202599574","1000","1","unif"
"259","10.0127980491204","1000","1","unif"
"260","10.0735838653682","1000","1","unif"
"261","10.1925220301839","1000","1","unif"
"262","9.98581108850887","1000","1","unif"
"263","9.84001626937062","1000","1","unif"
"264","10.3354035601489","1000","1","unif"
"265","10.244814942422","1000","1","unif"
"266","10.2181467133866","1000","1","unif"
"267","10.061767728125","1000","1","unif"
"268","9.96920153318818","1000","1","unif"
"269","10.3740858355988","1000","1","unif"
"270","9.93515887366246","1000","1","unif"
"271","9.9402284847243","1000","1","unif"
"272","10.1297862927825","1000","1","unif"
"273","10.1874987308819","1000","1","unif"
"274","10.033592145477","1000","1","unif"
"275","10.2073538774416","1000","1","unif"
"276","10.3320395909029","1000","1","unif"
