"","param_1","param_2","iteration"
"2",2.30014821245704,4.27571376403608,1
"3",2.29152710572413,4.28638028596645,2
"4",2.29676245388474,4.20337205589646,3
"5",2.26007344115255,4.12424971059241,4
"6",2.21486080153246,4.0988801518377,5
"7",2.20866445144072,4.13474186411507,6
"8",2.1226218163513,4.12724902648214,7
"9",2.08558372519966,4.14457446948528,8
"10",2.10041773839635,4.08030055631393,9
"11",2.12394204647358,4.08336002729461,10
"12",2.14449364316316,4.0639896111381,11
"13",2.12642602468287,4.07114719940883,12
"14",2.12920205646534,4.06610315683993,13
"15",2.15042401475451,4.04339004144618,14
"16",2.12286688176613,4.05652130670709,15
"17",2.10299649542213,4.05922259167928,16
"18",2.13062664254779,4.05687349851405,17
"19",2.14624290072463,4.04750629150804,18
"20",2.15228414068979,4.04202392215204,19
"21",2.15441147654577,4.04178195817345,20
"22",2.13159211672065,4.05303312191071,21
"23",2.10865472955048,4.05334044362535,22
"24",2.1192873997873,4.0531128887319,23
"25",2.10469942044532,4.04588365723151,24
"26",2.10374242899427,4.05211194486413,25
"27",2.0666307254519,4.04674055981727,26
"28",2.06273134387237,4.0478257507238,27
"29",2.05591584793428,4.05292479165777,28
"30",2.06680849233027,4.05591294347475,29
"31",2.05405530218332,4.06176471808112,30
