"","iteration","param_1","param_2"
"1",1,1.43084544046094,3.84786825285903
"2",2,1.94620204306921,3.98850961525386
"3",3,2.05594692164462,3.88650096193867
"4",4,2.1619005991689,3.99932625704451
"5",5,1.83393503088847,3.86751965612675
"6",6,2.25886106491012,4.02239922899194
"7",7,2.04070692057111,4.06735712946764
"8",8,2.17537746092056,4.04011843919482
"9",9,2.15701956708836,4.03086627352568
"10",10,2.02744593167054,4.05847609430005
"11",11,1.96861644428137,4.009047941053
"12",12,1.92005757527696,4.00190897105895
"13",13,2.23776516495431,4.01718640159589
"14",14,1.98310477834285,4.00268878900379
"15",15,1.81238400663152,4.03741479324727
"16",16,1.94461262021458,3.8785349697215
"17",17,2.00641169641295,4.03431700200545
"18",18,1.85843412491705,4.09066456851542
"19",19,1.90894784677449,4.05919391543166
"20",20,1.99357193554968,3.97397000100657
"21",21,1.87376320794347,3.97528567901873
"22",22,2.15099998895946,4.12515313861858
"23",23,1.86340692398117,4.14729091383743
"24",24,2.01096963697856,4.01539279096542
"25",25,2.04238078112922,3.98542873160168
"26",26,2.05733410379133,4.05076363097236
"27",27,1.89192761945333,4.00176658811697
"28",28,2.04144133758392,4.01209549639707
"29",29,1.87898396255753,3.95005566374573
"30",30,2.15263723242807,4.06523196254511
