"","param_1","param_2","const","size_data","ratio_noise_data"
"1",1.95720531084761,3.85832325681237,9.66184005546534,"1000","1"
"2",2.00824272592635,3.85525175159828,9.5079195463196,"1000","1"
"3",1.89549444143128,3.79955764044173,9.614285072895,"1000","1"
"4",2.23003860593765,3.85451139274233,9.88254982435748,"1000","1"
"5",1.99135456527816,3.77876565290507,9.25086686391878,"1000","1"
"6",2.05315619221662,3.97619548634614,9.75855426163283,"1000","1"
"7",1.88528196270973,3.81336024885111,9.59298842104672,"1000","1"
"8",1.88766849291759,3.86359507342988,9.78378120425282,"1000","1"
"9",1.81935121117873,3.918891857968,9.80216073244151,"1000","1"
"10",1.74106902830754,3.83775568048662,9.60051699084601,"1000","1"
"11",2.24908842006637,3.97887398264439,10.0805456069774,"1000","1"
"12",1.66797133124916,3.88920786755059,9.76220163287284,"1000","1"
"13",1.89039942216615,3.98717729267984,10.0270081457788,"1000","1"
"14",1.93111235958747,3.9620512684638,9.97503073991521,"1000","1"
"15",1.97622852160712,3.95044645605564,9.93466001737919,"1000","1"
"16",2.19532759630832,3.95728134700536,10.1389194475846,"1000","1"
"17",1.86656953541458,3.93379279948309,9.78483867441844,"1000","1"
"18",2.02526240026106,3.93982967946242,9.85381237805013,"1000","1"
"19",1.88454526912969,3.95015849409262,10.0303142879793,"1000","1"
"20",2.0415975154036,3.93242548231486,9.99757605401211,"1000","1"
"21",2.13862317234127,3.93927938114572,9.89575744836421,"1000","1"
"22",2.12207738892625,3.95306118111772,9.91810521725976,"1000","1"
"23",1.78749043433225,3.84770228618372,9.58535174430605,"1000","1"
"24",2.07645979969924,3.88920657171064,9.5904851996346,"1000","1"
"25",1.709555653581,3.92200287530743,10.2762667467431,"1000","1"
"26",1.91304059276438,3.79871531605962,9.54102807188292,"1000","1"
"27",1.80614507468471,3.82529408018362,9.50804186824172,"1000","1"
"28",1.84785957764474,3.87155246718283,9.92926094539103,"1000","1"
"29",1.84964094195872,3.9540788450864,10.1006306141401,"1000","1"
"30",2.10013108511836,3.93190524278881,9.84322113844738,"1000","1"
"31",1.89894401796161,3.90475738481336,9.76218525108964,"1000","1"
"32",1.7673583384037,3.97891234601191,10.1639467657874,"1000","1"
"33",1.82760481134221,4.02725785334569,10.2387181840287,"1000","1"
"34",1.90677216963658,3.79044878764471,9.43634672257566,"1000","1"
"35",1.93510415195553,3.95166528548812,10.2102384788092,"1000","1"
"36",1.96704295552884,3.88401728031057,9.57820505207469,"1000","1"
"37",1.85355573255207,3.94622397988951,10.1092923241216,"1000","1"
"38",2.10600046227836,3.93355202692568,9.86198708512232,"1000","1"
"39",1.74046631498251,3.95249340453226,9.87540695537251,"1000","1"
"40",1.88026300986681,3.90959882400465,9.60846161719892,"1000","1"
"41",1.97585282099092,3.84240740849135,9.62147756433723,"1000","1"
"42",1.76613316816649,3.95007661314369,10.0613847548833,"1000","1"
"43",1.90481871405215,3.97152950794671,10.0819604426267,"1000","1"
