"param_1","param_2","ratio_alpha_psi"
1.98198161629435,4.15818541360941,1
2.03283146963109,3.83535989334546,1
2.06863893878814,4.04588548132037,1
1.92273357608993,4.04774000326888,1
2.11684522796205,4.06125030659532,1
1.8955520433563,3.89477644453145,1
2.14250820933297,4.13306134353125,1
2.0944443528661,3.96729943106343,1
1.89684208313916,3.99141112425446,1
2.04568255825844,4.00860280724437,1
2.09713290251889,4.02599669327372,1
1.97398587344461,4.02305005626777,1
1.86546314589321,3.99244519028737,1
1.9754276803973,3.9224300227279,1
2.12862293648852,4.11390367540693,1
1.82562508996653,4.03221114355747,1
2.02776739858296,4.02398057595453,1
1.91799935465243,3.96241822237935,1
2.14701994217674,4.02662325863005,1
2.03209452087031,3.95482906073012,1
2.00686186778283,4.04386514069525,1
2.0242595412623,4.0187015931384,1
2.08370973657448,3.99755064005977,1
1.99097276540138,4.04552334517247,1
1.95765656239383,4.02803985874489,1
2.06009844950787,4.00803234233572,1
2.07974280850977,3.94115740080524,1
2.10931583061029,3.96388676759525,1
2.05564456474404,3.96434996712105,1
1.94480828378207,4.04885921418165,1
1.93472775658025,4.0776340018711,1
2.29690971600736,4.08004349508342,1
2.17755560706292,4.00550135939802,1
2.12116842483915,4.01946206520708,1
2.06280929750106,4.10042685355452,1
2.16620038859344,3.93854569754578,1
2.06294912171558,4.02265867313119,1
1.99455172453346,4.09328061823435,1
2.09061325508139,4.00783462069043,1
1.9787230921269,3.95600396976224,1
2.11256095362479,3.9878145812254,1
2.0968509014756,4.08722327152118,1
2.06110839434769,3.97020293618043,1
2.20009103604826,4.08334586819401,1
2.02819747987142,3.99536334082968,1
2.03932185706572,4.02758856999981,1
2.27378089265786,3.99633229792508,1
2.18248858710177,4.02208221311412,1
2.21184396748041,4.08501858345472,1
2.09827728153178,3.94197302025423,1
1.89479091544564,4.02372735048776,1
2.17374997628239,3.99537351290416,1
2.19856964686488,4.0902115300919,1
1.97873426475858,4.02555986422281,1
2.25272663477775,3.97365572652259,1
2.18234680482711,3.99991750006739,1
2.18807115139917,4.10786894402354,1
2.00543387255749,4.03177404752351,1
2.12412759829636,3.88348593727337,1
1.922945668363,4.04780438425787,1
2.05445145686289,4.1161417801694,1
1.97526512993373,3.97436928038715,1
1.97495587930317,3.96508035602747,1
2.06003851094248,4.10789601800097,1
2.04100187133664,4.01551121867306,1
1.908604396975,3.9668886231033,1
1.90594346852686,3.85286262328136,1
2.11002827143943,3.94573188584398,1
2.13638360171086,4.09212237654351,1
2.06143776243872,4.01935903301355,1
1.9289962147339,3.9738585120389,1
2.01302950052196,4.10870074240374,1
2.10393384662512,4.08005545802316,1
1.9111101304091,4.12366498328535,1
2.02577820642255,3.93652086934963,1
2.12917472584669,3.91355314258384,1
1.92600412966495,4.06405456200955,1
2.03681254233816,4.0040794051427,1
2.05874326141257,3.98120933192568,1
2.15808578156576,3.99152833494882,1
2.05564231743644,4.05564909491313,1
2.09866274494271,3.92890560317028,1
2.09090306680829,4.00966418219596,1
2.07531729936,4.13049018172696,1
2.11138029566974,3.97430090252856,1
1.99159477570166,3.98002297391149,1
2.17682074867189,4.03509326167404,1
2.00439747154558,3.99269155040686,1
1.94740448322264,4.01196639639675,1
1.95153918286015,4.06879603041234,1
1.99280445303649,3.97656983679936,1
2.16779493682044,4.00492578918566,1
2.16319404359293,4.02073076519173,1
1.84303666200213,3.98825854200623,1
1.8348823495494,3.94623479962347,1
1.87769981443799,4.12338106297666,1
1.97556067124243,4.00476863178192,1
2.10287120655199,4.10587237268606,1
2.10376746475523,4.08882335672097,1
2.12290696906279,4.09322436178738,1
2.26419744822056,3.94153887460029,3
2.17713587316467,3.9772279754041,3
1.88772027337319,4.04212205989725,3
2.04102510870827,4.02301554719148,3
1.95380248234746,4.05231279414136,3
1.8559631815364,4.09924799292767,3
2.07779747794485,3.98721903118494,3
2.01315044201184,4.08716377319215,3
2.04797850508968,4.07647285490112,3
2.26705915418392,3.9886716649242,3
1.77910604685667,4.05648975885534,3
2.09552182241701,4.05715672677066,3
2.19465083713441,4.0099080760477,3
2.02896229324084,3.97238979623985,3
2.09563350380632,4.10093319652369,3
2.15484526259462,3.96453804253324,3
1.97593955107764,3.92900707860886,3
1.80506906876181,3.98209077722495,3
2.09032560549386,3.96617600225436,3
2.02463151844923,3.95853880967889,3
1.97184612860243,3.87815278869707,3
2.04602433150129,4.00641725909248,3
1.89443601475214,3.97364383716486,3
2.20593522819291,4.0904499065855,3
1.91015762074974,4.05085309400677,3
2.00993234911998,4.09337277931292,3
1.9981190775141,3.90413529152375,3
2.0012295137186,3.9950256064999,3
2.21426799345064,3.96762662980473,3
1.94465298313608,4.00398978622889,3
2.15915458697246,3.94584642133696,3
1.99450670241298,4.02674802838017,3
2.17068160144071,4.04698537358625,3
1.96131786266797,4.00092422388607,3
2.34403735474608,4.07097600336511,3
1.86806208702474,3.96233659967693,3
2.05945646642632,3.92331102361295,3
1.98685101670429,3.94949633230697,3
2.24487257062966,4.06490190012492,3
2.08557001106418,3.89860966504432,3
2.02620110876115,3.95109663062113,3
2.18319185818535,4.0296019750009,3
1.85101540675349,3.96162409390975,3
1.9940850292529,3.97254987394627,3
1.97642299389737,3.9574458750587,3
1.91618548357381,3.98182210844709,3
1.84338010150864,4.03967715868071,3
2.09712155617131,3.99861256142699,3
2.04552471038542,4.02570949018527,3
2.16600547945528,3.97649076196576,3
1.98104812725024,3.91331428575441,3
2.06550096394158,3.97440957575246,3
2.19574712140865,4.04279566517533,3
2.02039093975981,4.08440839270758,3
2.02999161822158,4.02908158528481,3
2.12332865330682,4.00818995878508,3
1.78909770132742,3.9195904639666,3
1.90326905755501,4.04296880126058,3
2.02286352327756,3.98835235152692,3
1.99213841724568,4.02999196308213,3
1.9246635816001,4.03528687538247,3
2.10504492334104,3.95407641904685,3
1.96986457890885,4.07183085479724,3
2.02276500183639,3.98775648521837,3
1.89089906567225,3.93443538745433,3
1.74510760336271,3.96367075547605,3
2.16375736858646,3.98356786697077,3
2.25670680160525,3.98680740279412,3
1.81038491204072,4.03431414661554,3
2.0524287624433,3.97880020370367,3
2.1613835885569,4.01539114535272,3
1.86689549958779,3.97474493382211,3
1.97752052825345,3.97019355331759,3
1.96024743730669,4.00790274951142,3
1.65022341679233,3.9659845607659,3
1.84650372602501,4.11574790062496,3
2.010962447495,4.03049085995178,3
1.85335068245277,3.91415077271941,3
1.86994645147952,4.02734811429018,3
1.76689728785344,4.00843927167732,3
2.12065450327137,4.01165196218572,3
2.12748425027394,3.99037248568448,3
2.21221414860048,4.06904117201048,3
2.00585627033202,4.05106001083536,3
2.05498304406202,3.94621224443299,3
2.08018807676127,3.99172524805327,3
2.19792792141031,3.86362878444069,3
1.94050976615109,4.0039399396308,3
2.1596781009151,4.03922851959415,3
1.71795644912177,4.11557172520448,3
2.064490049487,3.90573078133275,3
2.17499633477256,3.99842696946526,3
2.06421914182466,4.0177596928912,3
1.81717243429667,3.99259582442828,3
2.0321099676774,3.92517558549298,3
1.96923239097606,3.9833149713234,3
1.99504210148389,4.00220168063661,3
2.16436253419894,3.90208218519203,3
1.86185510719434,3.97248915760256,3
2.08793534452853,4.08883666890615,3
1.92327001902014,3.99213895782741,5
2.18294669583393,3.96173442079399,5
1.70177568635846,3.99020976126485,5
1.87214012496116,3.98390672426031,5
1.97533916165349,4.11756005149391,5
1.6149932819446,3.97620734176108,5
2.14956547561843,3.95793085825508,5
1.9247473804664,3.98139861294524,5
2.08473070105775,4.02204062544315,5
2.37521898609863,3.94085266091268,5
2.16349031765011,3.9112470056278,5
2.32380560283742,4.10576147212807,5
2.25617009364417,3.85924147174417,5
2.00967618409751,3.9545975902146,5
1.79152362819696,4.16280153318985,5
1.95089705861283,3.99402393697565,5
1.82369165800338,3.94757614569681,5
1.66895874911334,4.1040492139322,5
1.80098295091958,3.96328979897881,5
2.2008377052609,4.05205337212919,5
1.71790616135759,4.18571143986892,5
2.5841850524338,4.02159594718996,5
1.99757256439571,3.91557880404417,5
1.99403022310949,4.07212521880552,5
2.22482746756179,3.96564331538297,5
1.88694332245723,3.98200052705434,5
2.27467797771789,4.07960637860791,5
1.68282191539025,3.98679424379075,5
1.88793245061771,4.06312686233123,5
1.90729295533486,4.01507640681628,5
1.8554640654129,4.16249735240526,5
2.34939108837185,4.08411467569936,5
1.74963612260272,3.90936868410045,5
2.08640095128476,3.98414855340953,5
2.56951588138246,3.98293069010079,5
2.03292787767551,3.98789679864949,5
1.68021000117161,4.03450262841316,5
2.20390414076987,3.78727411402731,5
1.89731595766935,4.06628507051064,5
2.1389335469334,4.04038450464184,5
2.28870237693766,3.98460243718392,5
1.98663278730169,4.07685985891854,5
2.21712222650153,3.94502151609323,5
2.23828109020506,4.04891481144477,5
1.76540863006504,4.09007014611507,5
1.75967476030274,3.93936071634889,5
2.10594975562304,3.90003286958127,5
2.31479528083287,3.98370160051946,5
1.85719152141811,4.04320786742992,5
2.00193386201946,3.89469195781012,5
2.08165983760992,4.00745686992159,5
1.92517179869611,4.08328171502654,5
1.78164404173104,4.05507082444465,5
1.97714816937842,3.90424828487267,5
1.95285192767934,3.96168042635454,5
2.29774669635087,3.8880168974129,5
1.95477252858146,4.09715062432042,5
2.35501017963748,4.06184438528213,5
2.13853042432403,3.84209201889414,5
2.17854945454135,3.9276028041189,5
2.00258750341716,3.96961537890277,5
2.00671165887616,3.9669470735651,5
2.09240132263913,3.97503636585643,5
2.07674372339361,3.88708023025298,5
2.08728323764977,3.97445120785374,5
1.96483314785929,3.9769940832457,5
2.09435665836437,3.9865533126419,5
1.9500016567962,3.97192183853388,5
2.06248983122838,3.98655270377754,5
2.07988434002273,4.14659548797919,5
2.1455509758003,4.02279451242738,5
1.94545832586138,4.06553394874967,5
1.91528796200774,3.90478623294685,5
1.85689110158892,3.94669242590571,5
2.01820838092245,3.94887494405848,5
2.09555357332575,4.07376740094042,5
1.95299613710379,4.01259448419321,5
2.05582217535142,3.95102637140742,5
2.43351223008472,3.98852672333146,5
1.66672469784845,3.96778230629625,5
2.15087945008009,3.92335720034777,5
2.04623915360389,4.04231086964508,5
1.74664438019409,3.88356491508512,5
2.01736885526562,3.96974880249645,5
2.30597780057894,3.98518801380328,5
1.61061648114701,3.99001014469541,5
1.9002600615364,3.9389847589031,5
2.040915844844,3.9187526005931,5
1.94686809998821,4.25097471108311,5
2.17419823994369,4.05018889846233,5
2.10613781174418,4.04016839774737,5
1.86291546513595,3.99426790511034,5
1.91274118967265,3.93077003490737,5
2.15519473611422,3.98611780496795,5
1.9072476852889,4.03809270415514,5
2.06740037675673,3.95782626105129,5
1.856764846429,4.16680500170333,5
2.19484032741833,4.09034903610789,5
1.89989384997007,3.99951616164126,5
2.21203165354536,3.88717460796332,5
1.87388637062912,4.01259726683495,7
2.11949669507959,3.90002726040299,7
1.85301317264676,3.85995747673442,7
1.85497807927896,3.97644254562911,7
2.07831208875323,3.90425361840571,7
2.20335991539204,3.98911481110041,7
2.2363905019002,4.00065227470754,7
2.12308026326048,3.9914561741284,7
1.96914763675391,3.99274581488067,7
2.091968447346,4.00211923152863,7
1.77412259038744,4.08282521767114,7
2.19546616055178,4.10060550054532,7
2.23214832152672,3.96451130005035,7
1.64630432257791,3.96375304772892,7
1.74625409286308,4.09091988396588,7
1.95835954733021,4.16780682261879,7
1.76910212977774,4.13055458869722,7
2.09238294340876,4.06323701059728,7
2.2856540852823,4.06285192678188,7
2.18540219196639,3.9636682678889,7
1.79194832226204,4.03448797394813,7
1.84057669686156,4.17416301688525,7
1.81662491394062,3.96053451280861,7
1.86125044121628,3.96933401437918,7
1.7348265954167,4.09538381054945,7
1.83115110237373,4.00696113294385,7
2.16251281041164,3.90023735779146,7
1.83613499068088,4.05912878456802,7
1.77164781342181,3.93271031206059,7
1.81602302274442,4.04443499075096,7
2.33508240316138,3.97772226740719,7
2.40816909580772,4.08312198319527,7
1.85455282374697,3.9034022262842,7
2.47189388477755,4.12724730805304,7
2.04646876646931,4.08601218369604,7
1.47101917919995,4.11631881888384,7
2.28059659709387,4.02498561392734,7
1.80968496961887,3.9812716839564,7
1.92677469032024,4.1096798323666,7
2.24712021785043,4.0246603024096,7
1.79912259105259,4.1191397918672,7
2.12116482578466,3.93370739865534,7
2.05024975013458,3.93445573416812,7
2.25161905791666,4.22950884994953,7
2.37243232870096,3.76752115204988,7
1.92280969184358,4.07552620598581,7
2.16317910992536,4.02327834510819,7
1.92917850084242,4.08969030431099,7
2.14937630132191,4.07664902534453,7
2.16564796957528,4.07673802714462,7
1.97768670242408,4.06281004214295,7
1.70510993410445,3.97130867094875,7
2.33670258576825,3.88306969313484,7
2.26723902285022,4.0131291786437,7
2.22849630355566,4.00196442887975,7
2.10522289863124,3.87165302460591,7
2.18531504454641,3.94486471029686,7
2.12587788270198,3.87354507247603,7
1.99997688318478,4.05654392439251,7
