"","param_1","param_2","ratio_alpha_psi"
"1",2.36452101193141,3.73451383342958,"1"
"2",1.95911450570439,4.18536836362091,"1"
"3",2.19548034835044,3.83165904015386,"1"
"4",1.79072014355089,4.17690350858239,"1"
"5",1.96961503681133,4.04722758245909,"1"
"6",2.09145898061871,3.98574834098363,"1"
"7",2.29222419744639,4.24793574055712,"1"
"8",2.1266415567563,4.23857780907093,"1"
"9",1.57179386258086,4.13823187774306,"1"
"10",2.11287045264615,4.13737653119144,"1"
"11",1.66014756031619,4.18819037645917,"1"
"12",2.2519735164541,4.21907976747434,"1"
"13",1.9828922979059,3.83056825408876,"1"
"14",1.89147334654172,3.8084651043233,"1"
"15",1.46226906112855,4.19660662399035,"1"
"16",2.33344879917532,3.78371245249473,"1"
"17",2.19396171847423,3.79342173202756,"1"
"18",2.38852705391142,3.63870815093453,"1"
"19",1.52662780067258,4.07322663650484,"1"
"20",1.96867871236555,3.95130881543865,"1"
"21",1.60241228651594,4.17068286319027,"1"
"22",1.71068749913048,4.09565155138389,"1"
"23",1.92278685468191,4.22391531784379,"1"
"24",2.25691537751191,3.96785345696481,"1"
"25",1.8689271975517,3.90572244982677,"1"
"26",2.32832421108468,3.95893650007135,"1"
"27",1.84197652315962,3.78764498647615,"1"
"28",1.89147997872033,4.00259669081852,"1"
"29",2.38150685485001,4.27329631204018,"1"
"30",2.12723000760974,4.2991571990122,"1"
"31",1.68142307200588,4.00384626349687,"1"
"32",1.22826783823548,3.97359301565448,"1"
"33",1.82832724488108,3.86930405969033,"1"
"34",1.94651870433955,4.01061535614936,"1"
"35",2.20099512779708,4.18926998097013,"1"
"36",1.76657303479224,3.86073782949461,"1"
"37",2.30240207275723,3.92757499635971,"1"
"38",2.1506508092838,4.0992390863809,"1"
"39",1.59987847787934,4.0136960169536,"1"
"40",1.162600098734,4.27149736033521,"1"
"41",2.01020183237339,3.9720881894335,"1"
"42",2.12920631748276,3.95923688175972,"1"
"43",1.90305511995139,4.11079598621982,"1"
"44",2.21329809512809,4.17142624001547,"1"
"45",2.1746314522774,3.94044369692638,"1"
"46",2.34780258154905,3.8858421905015,"1"
"47",1.92435991470748,3.8588640189023,"1"
"48",1.47286449981039,4.00545627721004,"1"
"49",1.71039217008002,4.27742855006582,"1"
"50",2.25231189441707,4.14696382279658,"1"
"51",2.19249011119537,4.45852402212623,"1"
"52",1.83008525017249,3.87505452970763,"1"
"53",2.20698870256225,3.8232562000972,"1"
"54",1.73445435544746,4.24404796461277,"1"
"55",1.90839307807856,3.75593151958001,"1"
"56",2.37105002470506,3.73635299802438,"1"
"57",2.07735617200743,4.17235417707634,"1"
"58",2.0261184064395,4.53039746673167,"1"
"59",1.4167786398215,4.04415658871912,"1"
"60",1.97980320459029,3.9649316535666,"1"
"61",1.77874120516208,3.82968993177783,"1"
"62",2.01592193511315,3.90015623210929,"1"
"63",2.50132092341634,4.03725024770962,"1"
"64",2.21812738780049,3.97747403318191,"1"
"65",1.92706749994119,3.7053335319646,"1"
"66",2.04844895266306,4.1280013542846,"1"
"67",1.83229887935868,3.86054473696804,"1"
"68",2.77611399823388,4.07659496368118,"1"
"69",1.95818687983638,3.9231827085986,"1"
"70",1.9431153986895,4.16194841045754,"1"
"71",2.70263049347196,4.13536932563114,"1"
"72",1.70341600329176,4.09307717487263,"1"
"73",1.52053024576072,4.2975955671589,"1"
"74",2.08661001343885,3.66585033266417,"1"
"75",2.06191849754683,3.79716867683551,"1"
"76",1.56901694059198,4.3091137106152,"1"
"77",2.04978349939921,4.24918324346655,"1"
"78",1.99918455752559,4.09301518216889,"1"
"79",1.8654552562482,3.79356565934672,"1"
"80",2.6325542027845,4.26331726886399,"1"
"81",1.92316440571527,3.9807405576549,"1"
"82",1.68950087203758,4.14209757844528,"1"
"83",1.41569776655106,3.91562397467842,"1"
"84",2.02926177084666,3.86076713424066,"1"
"85",1.71428002083431,3.76022353365897,"1"
"86",2.31376393375511,4.29065392891609,"1"
"87",1.74386401377597,3.97856929556692,"1"
"88",1.63777471228678,3.77662279958895,"1"
"89",1.97238952249518,4.26324824421627,"1"
"90",2.06618841001182,3.70035607650061,"1"
"91",1.90978567950661,3.7485111167538,"1"
"92",1.96194939231501,4.27589346142486,"1"
"93",2.17908679525151,3.90123791784662,"1"
"94",1.63248976591713,4.11573187614704,"1"
"95",2.47138759060247,4.00999493093111,"1"
"96",1.54794287477118,3.87567493915837,"1"
"97",1.9567691504155,4.15152243948978,"1"
"98",2.05164330336693,3.99465161329763,"1"
"99",1.60301213108044,3.93461840473299,"1"
"100",1.54345895532497,4.06795788754935,"1"
"101",1.92156801007896,3.73247524038143,"3"
"102",1.59639416517662,4.33387770508048,"3"
"103",0.964430701790121,4.0740583769315,"3"
"104",0.797922489150959,4.27820383805741,"3"
