"param_1","param_2","size_data","ratio_noise_data"
5.00853085921155,7.84441655101799,1000,1
1.41536379169848,4.89356442684366,1000,1
-4357.35658643601,-270.976846697522,1000,1
6.69362917953938,6.53532930125316,1000,1
2.0429665799471,3.98066802440008,1000,1
2.84444915182394,4.01947272140679,1000,1
2.24316023568973,3.89179934685235,1000,1
3.20520421845141,4.47295496793231,1000,1
2.12763798525121,3.36986384685006,1000,1
-0.0220209175566178,4.97522470608365,1000,1
3912.3758869847,170.208696130778,1000,1
10.7354249584039,7.98018583325376,1000,1
1.88203343179194,3.7292821924144,1000,1
0.860076313739417,5.31539740975131,1000,1
2.33103597191439,3.33928627229543,1000,1
3.13361483507325,4.86430142594036,1000,1
1.91753096444318,3.91868152329899,1000,1
1.13450115769029,3.94929743037628,1000,1
0.904867595864928,3.32971586164786,1000,1
0.122136140727348,4.6357342651043,1000,1
2.26780343726559,3.78794476736606,1000,1
2.89056419083017,3.89194062615858,1000,1
2.48360379893857,3.74492663202982,1000,1
2.97557922211127,4.65888756352361,1000,1
2.45102745885607,3.78580832918391,1000,1
3.14999992461126,3.57413743414005,1000,1
0.654225245376738,4.06567232525811,1000,1
1.72602953908864,4.00112419307043,1000,1
1.07306941431016,3.45947264046409,1000,1
6.10451637371145,5.73876355269957,1000,1
-4.46063319217266,5.72394663843114,1000,1
3.18761775074878,4.44368079152357,1000,1
1.94170627044078,3.63427586792823,1000,1
3.01331835212769,6.11604847718845,1000,1
1.1535468313843,3.81484875194729,1000,1
0.106903727991532,5.02635284937736,1000,1
2.01418941918205,3.64291264473666,1000,1
0.95977484058822,4.71135688832728,1000,1
1.57294044433366,4.64345000503963,1000,1
-0.945254833227229,5.03036463489323,1000,1
2.0893797049761,3.72216085490836,1000,1
-2.77481501698289,6.02090682730519,1000,1
2.56190143594187,3.63190601247483,1000,1
1.07042491585017,3.30463230907917,1000,1
2.91893125197385,4.33332141123247,1000,1
0.355904501637416,4.20279403794517,1000,1
1.39147289577523,4.20826666235808,1000,1
0.86202507308117,3.66913919364379,1000,1
2.78032956647222,5.17856281648856,1000,1
3.52316764155195,4.1639663444078,1000,1
1.23039567247033,3.82011637613178,1000,1
-2.2089226903186,6.03239376625729,1000,1
1.75783531994862,4.08843498918009,1000,1
1.8775201700395,3.47903307874221,1000,1
0.852568785879198,4.60405505723543,1000,1
2.8066691376134,4.11755582081798,1000,1
1.61270789783085,4.49730787315129,1000,1
1.59287070780993,3.694463776052,1000,1
2.83486103362702,3.61073385436714,1000,1
-3.38251163480282,5.88377516691487,1000,1
1.06325448457538,3.99454613892412,1000,1
2.20124917198779,4.18538525752145,1000,1
6.7938613277065,5.92058529248457,1000,1
5.45511880790488,5.67697434396048,1000,1
-1800.58610511301,118.056038908799,1000,1
192412.142908049,2067625.96220429,1000,1
2.09805231854039,3.55005324726982,1000,1
0.412202910246925,3.91830852213134,1000,1
2.84393997024598,3.30290483190457,1000,1
1.86944973208011,3.38812400810421,1000,1
3.5605867358493,3.78785252874766,1000,1
2.85991155384514,4.25328328918636,1000,1
2.1127878538659,4.01475737234064,1000,1
3.65926952375652,4.17538042257638,1000,1
-6951.64260057596,180.6837980984,1000,1
0.149702788466675,4.02104205755241,1000,1
1.86233391480246,3.81911026119842,1000,1
1.2558417024091,5.35741953458637,1000,1
1.58881877276581,3.59987971878145,1000,1
2.95712739028969,5.06208696248941,1000,1
1.77102564952439,4.2350135335997,1000,1
2.38676636855238,3.64848309061339,1000,1
2.98426330740935,3.81258109914285,1000,1
5671.88376687849,327.602128554629,1000,1
-0.184908315313438,4.76724931033642,1000,1
2.74068832819155,5.59087493469395,1000,1
0.251327344021411,4.0883358922758,1000,1
-8.39279451866289,6.54981969537363,1000,1
0.732340404692516,3.91120022652467,1000,1
1.63418901099358,3.52636222958099,1000,1
4.48141091446206,4.25270865528631,1000,1
0.108800266832694,3.57763279700851,1000,1
2.16391818435782,3.79225848385612,1000,1
-3.00432772885255,5.70696169522364,1000,1
1.21680017264044,3.58236894834227,1000,1
2.2696326025889,3.33755761326793,1000,1
1.54187275640925,4.66239135389497,1000,1
2.29481217238354,4.55913976061857,1000,1
2.25428491496178,3.43570890696055,1000,1
2.32081891719136,3.37592556523741,1000,1
1.96917482169921,3.91577602607468,1000,10
2.11810291742471,3.86560215459501,1000,10
1.82545837004055,3.8704941551945,1000,10
1.35593383848427,3.87629400347978,1000,10
2.07475319843362,3.93981675887044,1000,10
2.28228898820817,3.92771524380078,1000,10
2.06222217299729,4.02670835019163,1000,10
2.14731113691998,4.35577783790262,1000,10
2.94744919538499,4.6855100274086,1000,10
3.36523894066825,4.38966670254457,1000,10
1.94567832926291,4.08334815618265,1000,10
2.14946569548448,3.82341312670069,1000,10
1.7300819400869,4.15935883952953,1000,10
1.66862835014763,4.11297091126617,1000,10
1.84838185431509,4.26059276373926,1000,10
1.45376222460669,4.05984145723455,1000,10
1.44941092339305,3.96475921635774,1000,10
2.25638447635715,3.70221257700624,1000,10
2.22283794717224,3.92979512790626,1000,10
2.26465843972599,3.92736391029344,1000,10
1.94823424597271,4.0420619932469,1000,10
2.20765131349636,3.77041176035327,1000,10
2.21720387775623,3.92719089655457,1000,10
1.68288270774929,4.05444045539089,1000,10
