"PSI","estimations_beta"
0,0.0159892655131094
0.1,0.120736392604442
0.2,0.232259085614176
0.3,0.322314912732064
0.4,0.432876542048241
0.5,0.527840392303112
0.6,0.610375797002302
0.7,0.716608612916448
0.8,0.837052502069773
0.9,0.947213183684305
1,0.999933893038648
